hid;bez;lat;lng;coordinate
10132;S+U Hermannstr./Silbersteinstr. (Berlin);52.466.432.000.000;13.431.959.000.000;010100000068E7340BB43B4A40FD6CE4BA29DD2A40
10133;S+U Innsbrucker Platz (Berlin);52.478.100.000.000;13.342.875.000.000;0101000000DA1B7C61323D4A40643BDF4F8DAF2A40
10134;S+U Jannowitzbrücke (Berlin);52.515.500.000.000;13.418.027.000.000;0101000000448B6CE7FB414A40A3B08BA207D62A40
10135;S+U Jungfernheide Bhf (Berlin);52.530.431.000.000;13.300.135.000.000;01010000006DE4BA29E5434A4019C5724BAB992A40
10136;S+U Karl-Bonhoeffer-Nervenklinik (Berlin);52.578.169.000.000;13.332.921.000.000;0101000000D0471971014A4A40A14D0E9F74AA2A40
10137;S+U Lichtenberg Bhf (Berlin);52.510.754.000.000;13.498.228.000.000;01010000008D26176360414A4029E78BBD17FF2A40
10138;S+U Lichtenberg Bhf/Gudrunstr. (Berlin);52.512.367.000.000;13.500.065.000.000;01010000005A46EA3D95414A409CBF098508002B40
10139;S+U Lichtenberg Bhf/Siegfriedstr. (Berlin);52.512.315.000.000;13.497.750.000.000;01010000000820B58993414A40022B8716D9FE2A40
10140;S+U Neukölln (Berlin);52.469.282.000.000;13.443.692.000.000;0101000000FD4CBD6E113C4A4061FE0A992BE32A40
10141;S+U Pankow (Berlin);52.567.281.000.000;13.412.279.000.000;01010000003352EFA99C484A40B9A7AB3B16D32A40
10142;S+U Potsdamer Platz Bhf (Berlin);52.509.340.000.000;13.376.454.000.000;0101000000B745990D32414A4093E52494BEC02A40
10143;S+U Rathaus Spandau (Berlin);52.535.798.000.000;13.199.891.000.000;010100000090A1630795444A408B87F71C58662A40
10144;S+U Rathaus Steglitz (Berlin);52.455.066.000.000;13.322.152.000.000;0101000000C2C2499A3F3A4A4097AE601BF1A42A40
10145;S+U Rathaus Steglitz/Kreisel (Berlin);52.455.889.000.000;13.320.852.000.000;010100000096CD1C925A3A4A405FB69DB646A42A40
10146;S+U Schönhauser Allee (Berlin);52.549.336.000.000;13.415.138.000.000;0101000000FA415DA450464A4059A7CAF78CD42A40
10147;S+U Tempelhof (Berlin);52.470.694.000.000;13.385.754.000.000;0101000000333674B33F3C4A40359A5C8C81C52A40
10148;S+U Warschauer Str. (Berlin);52.505.765.000.000;13.449.159.000.000;0101000000103B53E8BC404A407B681F2BF8E52A40
10149;S+U Wedding (Berlin);52.542.732.000.000;13.366.060.000.000;0101000000103FFF3D78454A405DBF60376CBB2A40
10150;S+U Westhafen (Berlin);52.536.183.000.000;13.343.837.000.000;0101000000E9D500A5A1444A403C4F3C670BB02A40
10151;S+U Wittenau (Berlin);52.596.392.000.000;13.335.481.000.000;01010000004BCCB392564C4A40D7DB662AC4AB2A40
10152;S+U Wuhletal (Berlin);52.512.724.000.000;13.574.536.000.000;0101000000E9EFA5F0A0414A40D3BF249529262B40
10153;S+U Yorckstr. (Berlin);52.492.766.000.000;13.370.429.000.000;0101000000564ACFF4123F4A40DFFAB0DEA8BD2A40
10154;S+U Yorckstr. S1 U7 (Berlin);52.492.345.000.000;13.367.986.000.000;0101000000B0AC3429053F4A408FC536A968BC2A40
10155;S+U Yorckstr. S2 S25 S26 U7 (Berlin);52.492.323.000.000;13.372.226.000.000;0101000000C808A870043F4A401971016894BE2A40
10156;S+U Zoologischer Garten Bhf (Berlin);52.506.921.000.000;13.332.707.000.000;0101000000EB538EC9E2404A40F04C689258AA2A40
10157;S+U Zoologischer Garten/Jebensstr. (Berlin);52.507.126.000.000;13.330.430.000.000;0101000000C4793881E9404A400C3CF71E2EA92A40
10158;U Adenauerplatz (Berlin);52.500.086.000.000;13.307.348.000.000;0101000000FF976BD102404A4065FB90B75C9D2A40
10159;U Afrikanische Str. (Berlin);52.560.862.000.000;13.333.502.000.000;0101000000DAC87553CA474A401A4D2EC6C0AA2A40
10160;U Alt-Mariendorf (Berlin);52.439.641.000.000;13.387.456.000.000;0101000000897D022846384A40284701A260C62A40
10161;U Alt-Tegel (Berlin);52.589.649.000.000;13.283.821.000.000;01010000003F8F519E794B4A4006D671FC50912A40
10162;U Alt-Tempelhof (Berlin);52.465.930.000.000;13.385.796.000.000;0101000000D61C2098A33B4A40F0DAA50D87C52A40
10163;U Altstadt Spandau (Berlin);52.539.161.000.000;13.206.763.000.000;0101000000AB23473A03454A40B30B06D7DC692A40
10164;U Amrumer Str. (Berlin);52.542.202.000.000;13.349.534.000.000;0101000000B4E908E066454A401DAED51EF6B22A40
10165;U Augsburger Str. (Berlin);52.500.557.000.000;13.336.771.000.000;01010000005664744012404A40817B9E3F6DAC2A40
10166;U Bayerischer Platz (Berlin);52.488.654.000.000;13.340.237.000.000;0101000000A087DA368C3E4A403FC7478B33AE2A40
10167;U Berliner Str. (Berlin);52.487.047.000.000;13.331.355.000.000;0101000000B54E5C8E573E4A406FBBD05CA7A92A40
10168;U Bernauer Str. (Berlin);52.537.994.000.000;13.396.231.000.000;0101000000DCB8C5FCDC444A40A05225CADECA2A40
10169;U Biesdorf-Süd (Berlin);52.499.517.000.000;13.547.326.000.000;0101000000E4654D2CF03F4A4041800C1D3B182B40
10170;U Birkenstr. (Berlin);52.532.229.000.000;13.341.417.000.000;0101000000CC7D721420444A40CC988235CEAE2A40
10171;U Bismarckstr. (Berlin);52.511.543.000.000;13.305.335.000.000;0101000000B6BFB33D7A414A40F8A57EDE549C2A40
10172;U Blaschkoallee (Berlin);52.452.743.000.000;13.448.976.000.000;0101000000183F8D7BF3394A40B760A92EE0E52A40
10173;U Blissestr. (Berlin);52.486.478.000.000;13.320.545.000.000;01010000009B1C3EE9443E4A40EACA67791EA42A40
10174;U Blissestr./Uhlandstr. (Berlin);52.486.478.000.000;13.322.487.000.000;01010000009B1C3EE9443E4A4033C51C041DA52A40
10175;U Boddinstr. (Berlin);52.479.745.000.000;13.425.782.000.000;0101000000B3B5BE48683D4A4071732A1900DA2A40
10176;U Borsigwerke (Berlin);52.582.139.000.000;13.290.122.000.000;0101000000F25CDF87834A4A4042B3EBDE8A942A40
10177;U Breitenbachplatz (Berlin);52.467.342.000.000;13.309.276.000.000;01010000000C06D7DCD13B4A401AE0826C599E2A40
10178;U Britz-Süd (Berlin);52.437.076.000.000;13.447.668.000.000;0101000000E9EE3A1BF2374A4074EE76BD34E52A40
10179;U Bundestag (Berlin);52.519.908.000.000;13.373.454.000.000;0101000000E27668588C424A40EB1ED95C35BF2A40
10180;U Bülowstr. (Berlin);52.497.627.000.000;13.362.456.000.000;0101000000A54DD53DB23F4A405B7A34D593B92A40
10181;U Cottbusser Platz (Berlin);52.533.963.000.000;13.596.894.000.000;010100000014234BE658444A40755B22179C312B40
10182;U Dahlem-Dorf (Berlin);52.457.695.000.000;13.290.011.000.000;01010000007845F0BF953A4A40E4F560527C942A40
10183;U Deutsche Oper (Berlin);52.511.827.000.000;13.309.420.000.000;0101000000DA1A118C83414A40E674594C6C9E2A40
10184;U Eberswalder Str. (Berlin);52.541.022.000.000;13.412.154.000.000;010100000050357A3540454A40C7D45DD905D32A40
10185;U Eberswalder Str./Pappelallee (Berlin);52.541.498.000.000;13.412.833.000.000;0101000000B96C74CE4F454A404C6BD3D85ED32A40
10186;U Eisenacher Str. (Berlin);52.489.477.000.000;13.350.284.000.000;01010000007592AD2EA73E4A40C79FA86C58B32A40
10187;U Elsterwerdaer Platz (Berlin);52.504.643.000.000;13.560.762.000.000;0101000000E2934E2498404A40DAAD65321C1F2B40
10188;U Elsterwerdaer Platz (Berlin) Bus Köpenicker S.;52.505.252.000.000;13.562.256.000.000;01010000008A1EF818AC404A40A5F5B704E01F2B40
10189;U Ernst-Reuter-Platz (Berlin);52.511.582.000.000;13.322.581.000.000;0101000000739CDB847B414A40389F3A5629A52A40
10190;U Fehrbelliner Platz (Berlin);52.490.201.000.000;13.314.519.000.000;0101000000B6BB07E8BE3E4A40F6F065A208A12A40
10191;U Frankfurter Tor (Berlin);52.515.772.000.000;13.454.085.000.000;0101000000A41820D104424A40543541D47DE82A40
10192;U Franz-Neumann-Platz (Berlin);52.563.854.000.000;13.364.283.000.000;010100000001DC2C5E2C484A4040FA264D83BA2A40
10193;U Französische Str. (Berlin);52.514.770.000.000;13.389.208.000.000;0101000000207BBDFBE3414A40E2AE5E4546C72A40
10194;U Freie Universität (Thielplatz) (Berlin);52.451.000.000.000;13.281.651.000.000;01010000007D3F355EBA394A407AC5538F34902A40
10195;U Friedrich-Wilhelm-Platz (Berlin);52.471.439.000.000;13.328.676.000.000;01010000008B87F71C583C4A40CFF57D3848A82A40
10196;U Friedrichsfelde (Berlin);52.505.464.000.000;13.513.544.000.000;010100000016A75A0BB3404A40321D3A3DEF062B40
10197;U Friedrichsfelde/Massower Str. (Berlin);52.506.622.000.000;13.511.633.000.000;010100000091B75CFDD8404A40D61BB5C2F4052B40
10198;U Gleisdreieck (Berlin);52.499.587.000.000;13.374.293.000.000;0101000000DD408177F23F4A40533E0455A3BF2A40
10199;U Gneisenaustr. (Berlin);52.491.252.000.000;13.395.382.000.000;01010000001C0C7558E13E4A40A9DA6E826FCA2A40
10200;U Grenzallee (Berlin);52.463.516.000.000;13.444.828.000.000;01010000001C96067E543B4A40AFB0E07EC0E32A40
10201;U Grenzallee/Jahnstr. (Berlin);52.461.654.000.000;13.445.664.000.000;0101000000A708707A173B4A40540262122EE42A40
10202;U Görlitzer Bahnhof (Berlin);52.499.035.000.000;13.428.468.000.000;01010000009947FE60E03F4A40DBC35E2860DB2A40
10203;U Güntzelstr. (Berlin);52.491.992.000.000;13.331.210.000.000;010100000063F20698F93E4A4061376C5B94A92A40
10204;U Halemweg (Berlin);52.536.703.000.000;13.286.578.000.000;0101000000225514AFB2444A409581035ABA922A40
10205;U Hallesches Tor (Berlin);52.497.774.000.000;13.391.760.000.000;01010000004966F50EB73F4A400DC347C494C82A40
10206;U Hansaplatz (Berlin);52.518.111.000.000;13.342.165.000.000;01010000005359147651424A40F3AB394030AF2A40
10207;U Haselhorst (Berlin);52.538.718.000.000;13.232.309.000.000;01010000001EE21FB6F4444A4008228B34F1762A40
10208;U Haselhorst/Daumstr. (Berlin);52.539.580.000.000;13.232.362.000.000;0101000000B0C91AF510454A4093AAED26F8762A40
10209;U Hausvogteiplatz (Berlin);52.513.361.000.000;13.395.346.000.000;01010000005C0531D0B5414A40763579CA6ACA2A40
10210;U Heinrich-Heine-Str. (Berlin);52.510.858.000.000;13.416.169.000.000;0101000000327381CB63414A40D237691A14D52A40
10211;U Hellersdorf (Berlin);52.535.946.000.000;13.605.794.000.000;01010000000536E7E099444A40DE3994A12A362B40
10212;U Hermannplatz (Berlin);52.486.957.000.000;13.424.720.000.000;010100000075C7629B543E4A400CEA5BE674D92A40
